Dia;Q_entrada;NH_entrada;TSS_entrada;DQO_entrada;DBO_entrada;TN_entrada;TKN_entrada;TP_entrada;PO_entrada;Q_saida;NH_saida;NO_saida;TSS_saida;DQO_saida;DBO_saida;TN_saida;TKN_saida;TP_saida;PO_saida
42,0833670000004;9041,3524560002;20,7498989999989;521,665319999986;755,16471399998;383,09819066999;45,9473333499983;45,9473333499983;11,1974828299998;4,6;8811,21568567762;6,79203764328579;0,0720401929535967;5,96469872706849;108,026391062744;14,6487688737325;8,06033411995505;7,98829392700145;0,1138750331061;0,00476358965480405
42,1250337000004;9065,0191416002;20,6248988999989;519,998651999986;752,74804539998;381,89027303699;45,7410831849983;45,7410831849983;11,1762328129998;4,6;8834,87720102319;7,08769967660363;0,0705757817518909;5,97928259130885;109,223731214361;15,2522589087059;8,35804916297973;8,28747338122784;0,114029792735833;0,00468340757007031
42,1667004000004;9088,6858272002;20,4998987999989;518,331983999986;750,33137679998;380,68235540399;45,5348330199983;45,5348330199983;11,1549827959998;4,6;8858,52892305758;7,3646224467833;0,069185745364357;5,99410574643163;110,329215433087;15,8209653214196;8,63657953933866;8,5673937939743;0,11415247294582;0,00461621572433334
42,2083671000004;9112,3525128002;20,3748986999989;516,665315999986;747,914708199979;379,47443777099;45,3285828549983;45,3285828549983;11,1337327789998;4,6;8882,21012558838;7,62342601083217;0,0678590015644467;6,00894327640228;111,345766117268;16,3552787823859;8,89657228365481;8,82871328209036;0,114245919728042;0,00455976797787422
42,2500338000004;9136,0191984002;20,2498985999989;514,998647999986;745,49803959998;378,26652013799;45,1223326899983;45,1223326899983;11,1124827619998;4,6;8905,87653676692;7,86487937443718;0,0665904579388671;6,02372702148768;112,27697825518;16,8559342396118;9,13883515854286;9,07224470060399;0,114314554497773;0,00451206271690359
42,2917005000004;9159,6858840002;20,1248984999989;513,331979999986;743,08137099998;377,05860250499;44,9160825249983;44,9160825249983;11,0912327449998;4,6;8929,53969760425;8,08968082002946;0,0653733433508126;6,03843770491322;113,126014544616;17,3235824088124;9,36409763045468;9,29872428710387;0,114362248912873;0,00447153714889068
42,3333672000004;9183,3525696002;19,9998983999989;511,665311999986;740,664702399979;375,85068487199;44,7098323599983;44,7098323599983;11,0699827279998;4,6;8953,20767543451;8,2984898386179;0,0642031613394954;6,05307098972935;113,895767389576;17,7588244580939;9,57304791242552;9,50884475108603;0,11439241209309;0,00443710789532363
42,3750339000004;9207,0192552002;19,8748982999989;509,998643999986;738,24803379998;374,64276723899;44,5035821949983;44,5035821949983;11,0487327109998;4,6;8976,87471746428;8,49219227277984;0,0630745021454726;6,06762849778449;114,590224582051;18,1627858128557;9,76660214745612;9,70352764531064;0,114408265580795;0,00440764502284504
42,4167006000004;9230,6859408002;19,7498981999989;508,331975999986;735,831365199979;373,43484960599;44,2973320299983;44,2973320299983;11,0274826939998;4,6;9000,54484115834;8,67117307978839;0,0619868217450808;6,08211060439076;115,210859415586;18,5355988396597;9,94516630680804;9,88317948506296;0,114412355935839;0,00438275721654346
42,4583673000004;9254,3526264002;19,6248980999989;506,665307999986;733,414696599979;372,22693197299;44,0910818649982;44,0910818649982;11,0062326769998;4,6;9024,21067996856;8,83648105565156;0,0609356258990251;6,09652161084687;115,762482297001;18,8788640849856;10,1098179827291;10,0488823568301;0,114407037062099;0,00436156117786164
42,5000340000004;9278,0193120002;19,4998979999989;504,998639999986;730,998027999979;371,01901433999;43,8848316999982;43,8848316999982;10,9849826599998;4,6;9047,87263933637;8,98832749101955;0,0599186063407623;6,1108613071347;116,245696652899;19,1924313166047;10,2607803924246;10,2008617860838;0,114393853217037;0,00434364655602972
42,5417007000004;9301,6859976002;19,3748978999989;503,331971999986;728,581359399979;369,81109670699;43,6785815349982;43,6785815349982;10,9637326429998;4,6;9071,53738043745;9,12774927063512;0,0589343215702893;6,12513363363243;116,665333212959;19,4780230934196;10,3991189590673;10,340184637497;0,114375393889592;0,00432891168975215
42,5833674000004;9325,3526832002;19,2498977999989;501,665303999986;726,164690799979;368,60317907399;43,4723313699982;43,4723313699982;10,9424826259998;4,6;9095,20673637146;9,25512494685324;0,0579794722367007;6,13933947782394;117,022921165905;19,7359960316201;10,5252214761075;10,4672420038708;0,114351704613413;0,00431650553667262
42,6250341000004;9349,0193688002;19,1248976999989;499,998635999986;723,748022199979;367,39526144099;43,2660812049982;43,2660812049982;10,9212326089998;4,6;9118,83644573699;9,37112065070204;0,0570536943712659;6,1534816358419;117,321449185274;19,9673274241594;10,6397745230524;10,5827208286811;0,114324938959612;0,00430660136228402
42,6667008000004;9372,6860544002;18,9998975999989;498,331967999986;721,331353599979;366,18734380799;43,0598310399982;43,0598310399982;10,8999825919998;4,6;9142,54094968859;9,47627426494846;0,05615504144224;6,16755961983537;117,56341787094;20,1729058281568;10,7433298400166;10,6871747985744;0,114296101533068;0,00429876433545371
42,7083675000004;9396,3527400002;18,8748974999989;496,665299999986;718,914684999979;364,97942617499;42,8535808749982;42,8535808749982;10,8787325749998;4,6;9166,21081591021;9,57103561366412;0,0552819720202719;6,18157693276966;117,750746773999;20,3532928999337;10,8363477434313;10,7810657714111;0,114265165716902;0,00429245716060763
42,7500342000004;9420,0194256002;18,7498973999989;494,998631999986;716,498016399979;363,77150854199;42,6473307099982;42,6473307099982;10,8574825579998;4,6;9189,87741805845;9,65607320606119;0,054433341849225;6,19553468533607;117,886680713261;20,5097575271553;10,9195126935443;10,8650793516951;0,114234083981662;0,00428827081277938
42,7917009000004;9443,6861112002;18,6248972999989;493,331963999986;714,081347799979;362,56359090899;42,4410805449982;42,4410805449982;10,8362325409998;4,6;9213,54414253776;9,73178075081012;0,0536085143599769;6,20943422515431;117,973015199089;20,6429108657826;10,993228144184;10,939619629824;0,114202624974903;0,00428537699737278
42,8333676000004;9467,3527968002;18,4998971999989;491,665295999986;711,664679199979;361,35567327599;42,2348303799982;42,2348303799982;10,8149825239998;4,6;9237,21082609379;9,79862017202633;0,0528060252014211;6,22327636804167;118,011971734006;20,7535956358757;11,0579659130972;11,0051598878957;0,114171960428319;0,00428425807797867
42,8750343000004;9491,0194824002;18,3748970999989;489,998627999986;709,248010599979;360,14775564299;42,0285802149982;42,0285802149982;10,7937325069998;4,6;9260,87743878759;9,85705483339339;0,0520248069532302;6,23706302332656;118,005796100857;20,8426716870895;11,1141996103589;11,0621748034056;0,114142125758926;0,0042842713704059
42,9167010000004;9514,6861680002;18,2498969999989;488,331959999986;706,831341999979;358,93983800999;41,8223300499982;41,8223300499982;10,7724824899998;4,6;9284,54421121818;9,90753095207529;0,0512646654990486;6,25079465808162;117,95670851886;20,911033986389;11,1623849604922;11,1111202949931;0,114113720396124;0,00428559639248554
42,9583677000004;9538,3528536002;18,1248968999989;486,665291999986;704,414673399979;357,73192037699;41,6160798849982;41,6160798849982;10,7512324729998;4,6;9308,21069315887;9,95030996906658;0,0505244704971021;6,26447284853568;117,865971879712;20,9591347351275;11,2027890677412;11,1522645972441;0,11408703545429;0,00428818096962273
43,0000344000004;9561,64600727788;18,0012176342363;485,022134849411;702,031553989608;356,540864513864;41,4122706216689;41,4122706216689;10,7302756812005;4,6;9331,56901539278;9,9860654888512;0,0498021577056718;6,27810339643069;117,737110968399;20,9885295380543;11,2360963383928;11,1862941806871;0,114062159912021;0,00429157628175626
43,0417011000004;9526,72086939969;18,0834022000007;487,043353900018;704,877375900025;357,977866324013;41,5888977190015;41,5888977190015;10,7550206600002;4,6;9296,93241367504;10,0215063621087;0,0492637435237482;6,28827512939041;117,614510711848;21,0133418560318;11,2694588961127;11,2201951525889;0,114043575616056;0,0042803662454012
43,0833678000004;9491,4708411997;18,1667356000007;489,085022200018;707,752378200025;359,429534152013;41,7676478620015;41,7676478620015;10,7800206800002;4,6;9261,68230111943;10,0637031939774;0,0487347554139284;6,29193570892448;117,541697043437;21,0479225437185;11,3096857531595;11,2609509977455;0,113947651464303;0,00426863825815486
43,1250345000004;9456,22081299969;18,2500690000007;491,126690500018;710,627380500025;360,881201980013;41,9463980050015;41,9463980050015;10,8050207000002;4,6;9226,42789718535;10,1121450822512;0,048210465115592;6,29303248565639;117,519158406026;21,0936773095506;11,3563889314814;11,3081784663659;0,113818995031738;0,00425627913379377
43,1667012000004;9420,97078479969;18,3334024000007;493,168358800018;713,502382800025;362,332869808013;42,1251481480016;42,1251481480016;10,8300207200002;4,6;9191,17928954903;10,1663414339871;0,0476944163524615;6,29334076885766;117,544844692901;21,1506376283433;11,40914067612;11,3614462597676;0,113682828803844;0,00424329742733429
43,2083679000004;9385,72075659969;18,4167358000007;495,210027100018;716,377385100025;363,784537636013;42,3038982910016;42,3038982910016;10,8550207400002;4,6;9155,94134137393;10,2258039716494;0,0471892940646466;6,29341413670236;117,615290189817;21,2181182983764;11,467456338426;11,4202670443613;0,113547209395933;0,00422988332380591
43,2500346000004;9350,47072839969;18,5000692000007;497,251695400018;719,252387400025;365,236205464013;42,4826484340015;42,4826484340015;10,8800207600002;4,6;9120,68400155084;10,290135448244;0,0466940599271845;6,29341353777592;117,727316669416;21,2953729756219;11,5309233953259;11,4842293353988;0,113413846134535;0,00421587032726502
43,2917013000004;9315,22070019969;18,5834026000007;499,293363700018;722,127389700025;366,687873292013;42,6613985770015;42,6613985770015;10,9050207800002;4,6;9085,43054266734;10,3589094755111;0,0462097668910616;6,29338058569211;117,877358466452;21,3815205632384;11,5990959028535;11,5528861359625;0,11328361503734;0,00420167783989812
43,3333680000004;9279,97067199969;18,6667360000007;501,335032000018;725,002392000025;368,139541120013;42,8401487200016;42,8401487200016;10,9300208000002;4,6;9050,18245585909;10,4317358744106;0,045734756453266;6,29332670915275;118,062102709991;21,4757245548156;11,6715611417301;11,6258263852768;0,113156056505628;0,00418706941649569
43,3750347000004;9244,72064379969;18,7500694000007;503,376700300018;727,877394300025;369,591208948013;43,0188988630016;43,0188988630016;10,9550208200002;4,6;9014,93221003006;10,5083348880413;0,0452699321540591;6,29325422385388;118,279118254419;21,5773563610831;11,7480251687958;11,7027552366418;0,113031113915408;0,00417214066230134
