Dia;Q_entrada;NH_entrada;TSS_entrada;DQO_entrada;DBO_entrada;TN_entrada;TP_entrada;DQO_saida;Nitrato_saida;Amonia_saida
326;5846,45245218174;30,0001660984514;338,0;489,0;248,235097167594;46,2801760643585;8,86000332196903;104,0;1,6;1,3
327;7815,12099375911;28,9989350219708;346,025160105941;500,036342375248;254,038370205393;45,6601451032565;8,9603168309637;113,0;1,4;1,0
328;3183,35841574108;20,0004504731462;542,992277603209;783,988834701306;397,794357180311;46,1300791545671;11,439902826507;70,0;3,0;0,7
329;9687,08596212729;24,9985696565903;499,980690363969;720,972823475216;366,196007665595;49,0576518529025;10,899759225526;99,0;2,1;0,7
330;8166,45175647641;23,9942082503025;376,0;543,998069416768;275,924403932427;42,1341551592636;9,34998552062576;69,0;1,6;1,2
331;7578,03005666006;11,0120907064535;252,149790418841;363,218304422077;184,515418376687;23,1293518473847;7,77190092773685;111,0;1,2;2,3
332;5548,66196032051;16,0;351,0;506,999757612479;257,269984244811;32,8900048477504;9,02000242387521;102,0;3,1;1,9
333;6248,18456650912;21,0;450,0;650,0;330,069663640474;42,689988500529;10,2799942502645;93,0;5,1;1,4
334;7268,13754464391;25,996059848627;548,894053707526;792,847647480244;402,207939395036;52,4609726754098;11,5286691044251;84,0;7,0;1,0
335;6320,59892191005;22,0037936463028;406,062120958208;588,088913585222;298,525094599396;41,6367574324768;9,74077532646313;75,0;8,9;0,5
336;7896,008016763;33,987775930536;524,972495843706;757,961494181188;384,84533452825;59,2764862912075;11,2196638380897;92,0;7,3;0,9
337;7850,62627792959;26,0094613182382;598,913902004033;864,875110599256;439,012086964375;54,8453361834863;12,1489214097208;71,0;5,5;1,0
338;7409,50651510697;27,9996544223438;582,015205416872;840,022116969996;426,800939260706;56,0303732238687;11,9401866119343;59,0;2,3;1,8
339;5541,47531112517;29,0002295080276;609,0;879,000229508028;446,160283442414;58,3002524588304;12,2700068852408;73,0;2,2;1,7
340;5742,155480848;30,9993183864794;636,000681613521;919,0;466,76460125609;61,669270673533;12,6299863677296;87,0;2,2;1,5
341;4706,52154144263;31,9995720861153;663,973469339151;958,961658915934;486,765574421292;63,9682977585668;12,96966622717;101,0;2,1;1,4
342;9762,74087779506;28,0000735724602;382,014640919586;551,021188868547;279,835743234574;46,3807795002162;9,41018503473749;126,0;10,0;7,3
343;7776,83772217801;26,00068301849;497,925209475343;718,891741569332;364,855170690713;49,9770766808627;10,8790540193913;60,0;5,7;0,8
344;8241,30987543932;25,9988094458413;395,074608060614;570,107546725672;289,499531348984;45,0223850768313;9,58093656927153;82,0;0,4;2,4
345;6969,05361347477;23,0004210482312;479,99284218007;691,989824667747;351,384836545192;46,0700856131403;10,6399122816185;90,0;1,0;0,7
346;6460,32627521919;26,0;463,000667229487;668,999332770513;339,75460967075;48,3399332770513;10,4499799831154;93,0;2,7;1,0
347;6440,15158251152;29,0;446,999860549667;645,000139450333;327,535081578445;50,51000836702;10,2300027890067;96,0;4,4;1,2
348;7506,07201517527;31,9937368853224;429,989039549314;621,982254508413;315,890941970398;52,7331575472147;10,0298486413953;99,0;6,1;1,5
349;6796,16223393645;22,9998880373109;392,0;565,000335888067;286,910138273921;41,859898113953;9,54000223925378;90,0;6,4;1,0
350;7533,58284762089;13,0051545748522;354,020250115491;511,028718345605;259,169742084077;30,0760971256823;9,07024668322507;81,0;6,7;0,5
351;7138,9047247133;17,0007424048315;370,999010126891;534,998762658614;271,439356582479;34,8407028099071;9,26999010126892;65,0;6,0;0,7
352;6359,02833419894;23,9998422957387;383,997581867994;553,996530506253;281,123236866359;42,4497282229898;9,42997003619036;81,0;4,8;1,9
353;6118,13562083467;28,0004238151084;351,0;506,999576184892;257,26972452018;44,8904153388062;9,02;75,0;4,7;1,6
354;6197,51469083785;32,9996963475883;318,0;459,000303652412;232,765197374068;48,3096933110642;8,60999696347588;70,0;4,6;1,3
355;7970,79444661578;36,9982846727325;285,000071471969;411,999928528031;208,91;50,7182861021719;8,19000071471969;64,0;4,5;1,0
356;6869,07543126412;17,0016633134316;252,997588195524;363,996756538808;185,053280965568;29,1515518714317;7,77997089201495;58,0;15,0;0,5
357;6673,62501120359;17,000263519885;192,015284153332;277,022399190228;140,541561934956;26,2410119163585;7,02019500471493;35,0;12,0;3,1
358;5056,1063809152;18,0;189,000073315586;274,999706737656;139,87981414499;27,1699912021297;6,99999780053242;35,0;12,2;2,8
359;4889,21661349989;19,0005442550249;187,0;269,002177020099;136,696025920722;27,9806041230776;6,95001632765075;36,0;12,4;2,4
360;5120,34170486711;20,9985582073118;184,998558207312;266,997116414624;135,395;29,8985005356042;6,92998558207312;36,0;12,6;2,1
361;5587,91577948267;22,0;182,001169729407;263,0;134,09347935177;30,7800116972941;6,9;36,0;12,8;1,7
362;5984,69064899122;22,9982291051507;179,99964582103;259,00035417897;131,495253237963;31,6682149379919;6,8699964582103;37,0;13,0;1,4
363;8328,22512804703;19,0010023749734;177,000334124991;255,999331750018;129,609978281876;27,5210023749734;6,83;37,0;25,0;0,5
364;5364,0;18,0;175,0;251,0;127,66;26,37;6,79;37,0;20,0;0,9
